tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
Dom na Woli - bezpośrednio,460000.0,4181.82,110.0,344.0,1 piętro,wtórny,5, 1970 , bliźniak, do zamieszkania, plastikowe
Dom w POZNANIU !! Szczepankowo !! 5 pokoi + strych,399000.0,3963.05,100.68,420.0,1 piętro,pierwotny,5, 1970 , szeregowiec, do wykończenia, plastikowe
MdM 2018 !! POZNAŃ szeregowiec 4 pokoje + strych,359000.0,4259.11,84.29,200.0,1 piętro,pierwotny,4, 1970 , szeregowiec, do wykończenia, plastikowe
"Dom, 250 m², Poznań",449000.0,1796.0,250.0,759.0,2 piętra,wtórny,8, 1932 , wolnostojący, do remontu, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
Dom 220 m2 na os. Bajkowym z ogródkiem i garażem,499000.0,2268.18,220.0,327.0,n/a,wtórny,4, 1973 , bliźniak, do remontu, plastikowe
REZERWACJA,549000.0,3564.94,154.0,855.0,1 piętro,wtórny,4, 1973 , wolnostojący, do wykończenia, plastikowe
"Dom w zabudowie bliźniaczej, gotowy do wprowadzeni",790000.0,6148.34,128.49,350.0,2 piętra,wtórny,5, 2012 , bliźniak, do wykończenia, plastikowe
Dom parterowy z pięknym ogrodem /ZOBACZ FILM,1090000.0,3838.03,284.0,5400.0,parterowy,wtórny,5, 2008 , wolnostojący, do zamieszkania, plastikowe
"Dom, 250 m², Poznań",449000.0,1796.0,250.0,759.0,2 piętra,wtórny,8, 1932 , wolnostojący, do remontu, plastikowe
"Poznań, Starołęka - Bliźniak",599000.0,3993.33,150.0,488.0,1 piętro,wtórny,4, 2017 , bliźniak, do wykończenia, plastikowe
"Atrakcyjna lokalizacja , dom z potencjałem",710000.0,2535.71,280.0,411.0,2 piętra,wtórny,6, 1984 , szeregowiec, do remontu, plastikowe
"Dom, 120 m², Poznań",399000.0,3325.0,120.0,707.0,n/a,wtórny,5, 1984 , wolnostojący, do remontu, plastikowe
Bardzo Atrakcyjny Dom na Sprzedaż - Poznań,999000.0,6312.8,158.25,650.0,2 piętra,wtórny,5, 2001 , wolnostojący, do zamieszkania, plastikowe
Polecam duży dom na Smochowicach!,1280000.0,4050.63,316.0,820.0,1 piętro,wtórny,5, 2001 , wolnostojący, do zamieszkania, plastikowe
Sprzedam szeregowiec na Smochowicach,469000.0,3256.94,144.0,200.0,2 piętra,wtórny,5, 1983 , szeregowiec, do zamieszkania, plastikowe
Szczepankowo - 5 pokoi z ogrodami ponad 300m,399000.0,3961.08,100.73,400.0,1 piętro,pierwotny,5, 2018 , szeregowiec, do wykończenia, plastikowe
Szczepankowo - domy 4 i 5 pokojowe z ogrodami MDM,359000.0,4259.11,84.29,190.0,2 piętra,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Dom jednorodzinny Poznań Szczepankowo,569000.0,3707.32,153.48,500.0,1 piętro,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
Ogródek i miejsce parkingowe! W granicy Poznania !,362000.0,5027.78,72.0,150.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Działka ROD Strzeszynek,127000.0,1693.33,75.0,600.0,1 piętro,wtórny,3, 2016 , wolnostojący, do zamieszkania, plastikowe
WINOGRADY - Szelągowska - dom na zboczu CYTADELI.,980000.0,3266.67,300.0,627.0,1 piętro,wtórny,7, 1970 , bliźniak, do zamieszkania, drewniane
POZNAŃ - ul. Morasko 4,650000.0,3250.0,200.0,961.0,1 piętro,wtórny,5, 1970 , bliźniak, do remontu, plastikowe
Świerczewo- szeregowiec po remoncie,749000.0,3404.55,220.0,260.0,2 piętra,wtórny,8, 1970 , szeregowiec, do zamieszkania, plastikowe
"Dom, 220 m², Poznań",620000.0,2818.18,220.0,388.0,1 piętro,wtórny,5, 1988 , bliźniak, do zamieszkania, plastikowe
"Dom, 130 m², Poznań",660000.0,5076.92,130.0,470.0,1 piętro,wtórny,4, 1989 , bliźniak, do zamieszkania, plastikowe
"Grunwald - wolno stojący, do remontu,",855000.0,5896.55,145.0,550.0,1 piętro,wtórny,6, 1989 , wolnostojący, do remontu, plastikowe
Bliźniak na Świerczewie,535000.0,1119.25,478.0,150.0,1 piętro,wtórny,4, 1989 , bliźniak, do remontu, plastikowe
Sprzedam dom do zamieszkania z prężnie działającą,1350000.0,3679.78,366.87,845.0,2 piętra,wtórny,9, 1979 , wolnostojący, do zamieszkania, plastikowe
Dom Poznań Szczepankowo Spławie ul. Popularna 6,629000.0,4474.96,140.56,450.0,1 piętro,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
NOWE domy wolnostojące w dobrej cenie 3 394zł/m2,465000.0,3394.16,137.0,427.0,1 piętro,pierwotny,4, 2017 , wolnostojący, do wykończenia, plastikowe
"Dom, 160 m², Poznań",489000.0,3056.25,160.0,0.0,1 piętro,wtórny,5, 1960 , wolnostojący, do wykończenia, plastikowe
BEZPOŚREDNIO DOM Poznań MORASKO Huby Moraskie 375m,1099000.0,2930.67,375.0,1429.0,2 piętra,wtórny,6, 1960 , wolnostojący, do wykończenia, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
"Dom Poznań Junikowo, ul. Przepiórcza",699000.0,4755.1,147.0,573.0,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
Super dom ! Tuż obok Poznania - Wszędzie BLISKO !,396000.0,5500.0,72.0,244.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Cały bliźniak/dwu rodzinny lub na firmę/hostel itp,1145000.0,2489.13,460.0,1039.0,1 piętro,wtórny,9, 1996 , bliźniak, do zamieszkania, plastikowe
Grunwald – piękna willa miejska z ogrodem,2100000.0,6344.41,331.0,700.0,n/a,wtórny,10, 1935 , wolnostojący, do zamieszkania, plastikowe
"Blisko centrum, z dużym potencjałem.",747000.0,4980.0,150.0,511.0,1 piętro,wtórny,5, 1966 , bliźniak, do remontu, plastikowe
Szeregowiec Wilczy Młyn,690000.0,2555.56,270.0,210.0,1 piętro,wtórny,4, 1995 , szeregowiec, do zamieszkania, plastikowe
"Wszędzie blisko - Nowy, solidny DOM !",362000.0,5027.78,72.0,150.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Nowoczesne Domy, Wysoka Jakość",309000.0,4418.07,69.94,170.0,n/a,wtórny,3, 2018 , szeregowiec, do wykończenia, plastikowe
Wyłaczność,699000.0,3328.57,210.0,680.0,3 piętra i więcej,wtórny,4, 1970 , bliźniak, do zamieszkania, plastikowe
"Dom, 73 m², Poznań",400000.0,5479.45,73.0,100.0,n/a,wtórny,4, 2014 , szeregowiec, do zamieszkania, plastikowe
"Domy Literacka, Poznań, Strzeszyn",685000.0,5393.7,127.0,700.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
Piękna Willa na sprzedaż idealna lokalizacja,2500000.0,4166.67,600.0,2126.0,1 piętro,wtórny,7, 2018 , wolnostojący, do wykończenia, plastikowe
Przestronny dom z ogrodem do własnej aranżacji!!,459000.0,2550.0,180.0,300.0,2 piętra,wtórny,4, 1988 , szeregowiec, do wykończenia, plastikowe
Dom na sprzedaż: Poznań - Jeżyce - Ogrody,1500000.0,2851.71,526.0,668.0,1 piętro,wtórny,7, 1997 , szeregowiec, do zamieszkania, plastikowe
Dom na sprzedaż: Poznań - Górczyn,2500000.0,8445.95,296.0,690.0,n/a,wtórny,1, 2009 , szeregowiec, do zamieszkania, plastikowe
"Dom, 210 m², Poznań",950000.0,4523.81,210.0,954.0,1 piętro,wtórny,4, 1996 , wolnostojący, do zamieszkania, plastikowe
"Dom, 160 m², Poznań",750000.0,4687.5,160.0,1043.0,n/a,wtórny,5, 1988 , wolnostojący, do zamieszkania, plastikowe
"Dom, 145,70 m², Poznań",620000.0,4255.32,145.7,0.0,1 piętro,wtórny,6, 2007 , wolnostojący, do zamieszkania, plastikowe
"Dom, 169,90 m², Poznań",589000.0,3466.75,169.9,0.0,2 piętra,wtórny,6, 1987 , wolnostojący, do zamieszkania, plastikowe
Lubczykowa Góra - domy w Poznaniu [20/1] [MDM],529000.0,3694.13,143.2,272.0,1 piętro,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
